Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
"La pelure de pomme : divination pas à pas","https://grimoire.endam-digital.com/assets/pins/sort-pelure-de-pomme.jpg","Samhain et Halloween","","Une divination d’amour de Samhain. C’est un jeu de divination d’Halloween des îles Britanniques, attesté notamment au XVIIIᵉ et au XIXᵉ siècle. Le poète écossais Robert Burns décrit ces coutumes d’Halloween dans son poème « Halloween » (1785). Ingrédients, rituel, incantation et variantes sur Le Grimoire de Minuit.","https://grimoire.endam-digital.com/sorts/pelure-de-pomme/","2026-09-28T05:00:00","sorcellerie, divination, sort, livre des ombres, witchcraft, samhain"
"La bougie à la fenêtre : rituel de Samhain et d’Halloween pas à pas","https://grimoire.endam-digital.com/assets/pins/sort-bougie-a-la-fenetre.jpg","Samhain et Halloween","","Guider les âmes qui rentrent à la maison. Allumer une lumière pour les morts la nuit de Samhain, puis de la Toussaint, est une coutume ancienne d’Irlande et de Bretagne. En Bretagne, on laissait pour les âmes des crêpes et du cidre sur la table la nuit du 1ᵉʳ au 2… Ingrédients, rituel, incantation et variantes sur Le Grimoire de Minuit.","https://grimoire.endam-digital.com/sorts/bougie-a-la-fenetre/","2026-09-28T10:00:00","sorcellerie, rituel de Samhain et d’Halloween, sort, livre des ombres, witchcraft, samhain"
"Le repas muet : rituel de Samhain et d’Halloween pas à pas","https://grimoire.endam-digital.com/assets/pins/sort-repas-muet.jpg","Samhain et Halloween","","Dîner en silence avec les absents. Le « dumb supper » est une coutume populaire des îles Britanniques et des Appalaches américaines. À l’origine, c’était souvent une divination : des jeunes filles dînaient à reculons et en silence dans l’espoir de voir apparaître… Ingrédients, rituel, incantation et variantes sur Le Grimoire de Minuit.","https://grimoire.endam-digital.com/sorts/repas-muet/","2026-09-28T17:00:00","sorcellerie, rituel de Samhain et d’Halloween, sort, livre des ombres, witchcraft, samhain"
"La lanterne gardienne : rituel de Samhain et d’Halloween pas à pas","https://grimoire.endam-digital.com/assets/pins/sort-lanterne-gardienne.jpg","Samhain et Halloween","","La citrouille, ou mieux, le navet. En Irlande et en Écosse, on creusait des navets et des betteraves pour en faire des lanternes à visage. Selon la légende, Jack l’Avare, qui avait trompé le diable, fut condamné à errer avec un charbon ardent dans un navet évidé.… Ingrédients, rituel, incantation et variantes sur Le Grimoire de Minuit.","https://grimoire.endam-digital.com/sorts/lanterne-gardienne/","2026-09-29T05:00:00","sorcellerie, rituel de Samhain et d’Halloween, sort, livre des ombres, witchcraft, samhain"
"La croix de sorbier : rituel de Samhain et d’Halloween pas à pas","https://grimoire.endam-digital.com/assets/pins/sort-croix-de-sorbier.jpg","Samhain et Halloween","","La protection écossaise de la nuit des morts. Un vieux dicton écossais dit : « Rowan tree and red thread gar the witches tyne their speed », le sorbier et le fil rouge font perdre leur élan aux sorcières. En Écosse et en Irlande, on accrochait des croix de sorbier nouées de… Ingrédients, rituel, incantation et variantes sur Le Grimoire de Minuit.","https://grimoire.endam-digital.com/sorts/croix-de-sorbier/","2026-09-29T10:00:00","sorcellerie, rituel de Samhain et d’Halloween, sort, livre des ombres, witchcraft, samhain"
"Les noix dans le feu : rituel de Samhain et d’Halloween pas à pas","https://grimoire.endam-digital.com/assets/pins/sort-noix-dans-le-feu.jpg","Samhain et Halloween","","La divination d’amour des nuits d’Halloween écossaises. En Écosse et dans le Nord de l’Angleterre, la nuit d’Halloween s’appelait parfois « Nutcrack Night », la nuit des noix qui éclatent. Le poète Robert Burns décrit ce jeu dans son poème « Halloween » (1785). Ingrédients, rituel, incantation et variantes sur Le Grimoire de Minuit.","https://grimoire.endam-digital.com/sorts/noix-dans-le-feu/","2026-09-29T17:00:00","sorcellerie, rituel de Samhain et d’Halloween, sort, livre des ombres, witchcraft, samhain"
"Le miroir et la pomme : rituel de Samhain et d’Halloween pas à pas","https://grimoire.endam-digital.com/assets/pins/sort-miroir-et-la-pomme.jpg","Samhain et Halloween","","Voir son avenir par-dessus son épaule. Burns mentionne aussi cette coutume dans « Halloween » : manger une pomme devant le miroir à minuit pour voir apparaître son futur époux. Les cartes postales d’Halloween du début du XXᵉ siècle représentent souvent des jeunes… Ingrédients, rituel, incantation et variantes sur Le Grimoire de Minuit.","https://grimoire.endam-digital.com/sorts/miroir-et-la-pomme/","2026-09-30T05:00:00","sorcellerie, rituel de Samhain et d’Halloween, sort, livre des ombres, witchcraft, samhain"
"Le pain des âmes : rituel de Samhain et d’Halloween pas à pas","https://grimoire.endam-digital.com/assets/pins/sort-pain-des-ames.jpg","Samhain et Halloween","","Des gâteaux offerts pour les morts. En Angleterre, jusqu’au XIXᵉ siècle, les pauvres et les enfants allaient de porte en porte à la Toussaint et au jour des morts pour réclamer des « soul cakes ». En échange, ils promettaient de prier pour les défunts de la maison.… Ingrédients, rituel, incantation et variantes sur Le Grimoire de Minuit.","https://grimoire.endam-digital.com/sorts/pain-des-ames/","2026-09-30T10:00:00","sorcellerie, rituel de Samhain et d’Halloween, sort, livre des ombres, witchcraft, samhain"
"Le chaudron des adieux : rituel de Samhain et d’Halloween pas à pas","https://grimoire.endam-digital.com/assets/pins/sort-chaudron-des-adieux.jpg","Samhain et Halloween","","Brûler l’année qui s’achève. Pour les Celtes, Samhain marquait la fin de l’année et le début de la saison sombre. Les grands feux allumés sur les collines, notamment sur la colline de Tlachtga en Irlande, servaient à rallumer les foyers de toute la région.… Ingrédients, rituel, incantation et variantes sur Le Grimoire de Minuit.","https://grimoire.endam-digital.com/sorts/chaudron-des-adieux/","2026-09-30T17:00:00","sorcellerie, rituel de Samhain et d’Halloween, sort, livre des ombres, witchcraft, samhain"
"L’autel des ancêtres : rituel de sorcellerie pas à pas","https://grimoire.endam-digital.com/assets/pins/rituel-autel-des-ancetres.jpg","Samhain et Halloween","","Honorer ceux qui nous ont précédés est l’une des plus anciennes pratiques humaines. Pas besoin de croire aux esprits pour en ressentir la force. Le matériel, chaque étape et les paroles à dire sur Le Grimoire de Minuit.","https://grimoire.endam-digital.com/rituels/autel-des-ancetres/","2026-10-01T05:00:00","rituel sorcellerie, wicca, autel, sorcière, witchcraft"
